,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
33,2014-02-28,2014-03-27,0.12,0.1,0.02,20
34,2013-11-30,2014-01-07,0.14,0.24,-0.1,-41.6667
35,2013-08-31,2013-10-23,0.19,0.17,0.02,11.7647
36,2013-05-31,2013-06-27,0.16,0.18,-0.02,-11.1111
37,2013-02-28,2013-03-28,0.04,0.18,-0.14,-77.7778
38,2012-11-30,2013-01-07,0.15,0.17,-0.02,-11.7647
39,2012-08-31,2012-10-24,0.15,0.28,-0.13,-46.4286
40,2012-05-31,2012-06-27,0.24,0.37,-0.13,-35.1351
41,2012-02-29,2012-03-28,0.24,0.09,0.15,166.6667
42,2011-11-30,2012-01-06,0.2,0.16,0.04,25
43,2011-08-31,2011-10-28,0.17,0.1,0.07,70
44,2011-05-31,2011-06-21,0.32,0.2,0.12,60
45,2011-02-28,2011-03-22,-0.4,-0.07,-0.33,-471.4286
46,2010-11-30,2010-12-21,0.01,0.01,0,0
47,2010-08-31,2010-10-29,0.07,0.09,-0.02,-22.2222
48,2010-05-31,2010-06-22,-0.1,-0.11,0.01,9.0909
49,2010-02-28,2010-03-24,-1.19,-0.86,-0.33,-38.3721
50,2009-11-30,2009-12-22,-0.28,-0.04,-0.24,-600
51,2009-08-31,2009-10-30,0.07,0.01,0.06,600
52,2009-05-31,2009-06-23,-0.1,-0.14,0.04,28.5714
53,2009-02-28,2009-03-24,-0.31,0.03,-0.34,-1133.3333
54,2008-11-30,2008-12-17,0.49,0.34,0.15,44.1176
55,2008-08-31,2008-10-30,0.56,0.94,-0.38,-40.4255
56,2008-05-31,2008-06-18,0.5,0.71,-0.21,-29.5775
57,2008-02-29,2008-03-25,0.36,0.58,-0.22,-37.931
58,2007-11-30,2007-12-19,0.57,0.62,-0.05,-8.0645
59,2007-08-31,2007-10-30,0.86,0.92,-0.06,-6.5217
60,2007-05-31,2007-06-20,0.82,0.79,0.03,3.7975
61,2007-02-28,2007-03-20,0.54,0.61,-0.07,-11.4754
62,2006-11-30,2006-12-21,0.71,0.74,-0.03,-4.0541
63,2006-08-31,2006-10-24,1.04,0.76,0.28,36.8421
64,2006-05-31,2006-06-20,0.62,0.7,-0.08,-11.4286
65,2006-02-28,2006-03-21,0.65,0.5,0.15,30
66,2005-11-30,2005-12-21,0.57,0.59,-0.02,-3.3898
67,2005-08-31,2005-10-25,0.69,0.67,0.02,2.9851
68,2005-05-31,2005-06-21,0.57,0.56,0.01,1.7857
69,2005-02-28,2005-03-22,0.46,0.44,0.02,4.5455
70,2004-11-30,2004-12-20,0.61,0.44,0.17,38.6364
71,2004-08-31,2004-10-19,0.39,0.43,-0.04,-9.3023
72,2004-05-31,2004-06-22,0.42,0.43,-0.01,-2.3256
73,2004-02-29,2004-03-23,0.18,0.09,0.09,100
74,2003-11-30,2003-12-17,0.11,0.08,0.03,37.5
75,2003-08-31,2003-10-14,0.1,0.05,0.05,100
76,2003-05-31,2003-06-17,0.03,0.06,-0.03,-50
77,2003-02-28,2003-03-18,0.0254,None,None,None
78,2002-11-30,2002-12-18,0.019,None,None,None
79,2002-08-31,2002-10-15,0.0768,None,None,None
80,2002-05-31,2002-06-18,0.141,None,None,None
81,2002-02-28,2002-03-15,0.0588,None,None,None
82,2001-11-30,2001-12-17,0.0829,None,None,None
83,2001-08-31,2001-10-15,0.1348,None,None,None
84,2001-05-31,2001-05-31,0.1023,None,None,None
85,2001-02-28,2001-02-28,0.0159,None,None,None
86,2000-11-30,2000-11-30,-0.0211,None,None,None
87,2000-08-31,2000-10-16,0.12,0.12,0,0
88,2000-05-31,2000-06-15,0.12,0.11,0.01,9.0909
89,2000-02-29,2000-03-15,0.09,0.08,0.01,12.5
90,1999-11-30,1999-12-14,0.09,0.08,0.01,12.5
91,1999-08-31,1999-10-14,0.14,0.1,0.04,40
92,1999-05-31,1999-06-16,0.11,0.07,0.04,57.1429
93,1999-02-28,1999-03-17,0.07,0.06,0.01,16.6667
94,1998-11-30,1998-12-16,0.08,0.07,0.01,14.2857
95,1998-08-31,1998-10-15,0.13,0.1,0.03,30
96,1998-05-31,1998-06-17,0.09,0.09,0,0
97,1998-02-28,1998-03-17,0.07,0.07,0,0
98,1997-11-30,1997-12-17,0.07,0.08,-0.01,-12.5
99,1997-08-31,1997-10-16,0.11,0.09,0.02,22.2222
100,1997-05-31,1997-06-18,0.09,0.09,0,0
101,1997-02-28,1997-03-19,0.06,0.08,-0.02,-25
102,1996-11-30,1996-12-18,0.08,0.09,-0.01,-11.1111
103,1996-08-31,1996-10-17,0.11,0.11,0,0
104,1996-05-31,1996-06-18,0.1,0.1,0,0
105,1996-02-29,1996-03-19,0.08,0.08,0,0
