,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-05-31,2022-06-22,1.58,0.83,0.75,90.3614
1,2022-02-28,2022-03-22,1.13,1.37,-0.24,-17.5182
2,2021-11-30,2021-12-16,2.12,1.72,0.4,23.2558
3,2021-08-31,2021-09-29,2.46,1.91,0.55,28.7958
4,2021-05-31,2021-06-23,2.33,1.75,0.58,33.1429
5,2021-02-28,2021-03-24,1.36,1.25,0.11,8.8
6,2020-11-30,2020-12-17,0.95,0.68,0.27,39.7059
7,2020-08-31,2020-09-23,0.6488,0.44,0.2088,47.4545
8,2020-05-31,2020-06-25,0.49,0.26,0.23,88.4615
9,2020-02-29,2020-03-26,0.64,0.68,-0.04,-5.8824
10,2019-11-30,2019-12-17,0.6,0.58,0.02,3.4483
11,2019-08-31,2019-09-25,0.62,0.72,-0.1,-13.8889
12,2019-05-31,2019-06-26,0.77,0.77,0,0
13,2019-02-28,2019-03-20,0.49,0.56,-0.07,-12.5
14,2018-11-30,2018-12-18,0.58,0.73,-0.15,-20.5479
15,2018-08-31,2018-09-26,0.92,1.02,-0.1,-9.8039
16,2018-05-31,2018-06-27,0.95,1.04,-0.09,-8.6538
17,2018-02-28,2018-03-29,0.62,0.72,-0.1,-13.8889
18,2017-11-30,2017-12-19,0.65,0.67,-0.02,-2.9851
19,2017-08-31,2017-09-27,0.73,0.82,-0.09,-10.9756
