,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
31,2014-09-30,2014-10-20,0.38,0.43,-0.05,-11.6279
32,2014-06-30,2014-07-21,0.31,0.31,0,0
33,2014-03-31,2014-04-16,0.16,0.16,0,0
34,2013-12-31,2014-01-27,0.24,0.24,0,0
35,2013-09-30,2013-10-16,0.25,0.24,0.01,4.1667
36,2013-06-30,2013-07-17,0.13,0.13,0,0
37,2013-03-31,2013-04-17,0.22,0.2,0.02,10
38,2012-12-31,2013-01-28,0.2,0.14,0.06,42.8571
39,2012-09-30,2012-10-17,0.15,0.13,0.02,15.3846
40,2012-06-30,2012-07-23,0.2,0.19,0.01,5.2632
41,2012-03-31,2012-04-18,0.23,0.21,0.02,9.5238
42,2011-12-31,2012-01-24,0.14,0.11,0.03,27.2727
43,2011-09-30,2011-10-17,0.2,0.21,-0.01,-4.7619
44,2011-06-30,2011-07-18,0.43,0.39,0.04,10.2564
45,2011-03-31,2011-04-18,0.46,0.41,0.05,12.1951
46,2010-12-31,2011-01-24,0.07,0.08,-0.01,-12.5
47,2010-09-30,2010-10-18,0.09,0.1,-0.01,-10
48,2010-06-30,2010-07-19,0.22,0.24,-0.02,-8.3333
49,2010-03-31,2010-04-19,0.29,0.26,0.03,11.5385
50,2009-12-31,2010-02-03,0.12,0.17,-0.05,-29.4118
51,2009-09-30,2009-10-19,0.3,0.23,0.07,30.4348
52,2009-06-30,2009-07-22,-0.08,-0.11,0.03,27.2727
53,2009-03-31,2009-04-22,-0.48,-0.43,-0.05,-11.6279
54,2008-12-31,2009-01-26,-0.45,-0.33,-0.12,-36.3636
55,2008-09-30,2008-10-15,0.98,1.1,-0.12,-10.9091
56,2008-06-30,2008-07-21,1.05,0.93,0.12,12.9032
57,2008-03-31,2008-04-21,0.72,0.64,0.08,12.5
58,2007-12-31,2008-01-28,0.5,0.49,0.01,2.0408
59,2007-09-30,2007-10-16,0.53,0.53,0,0
60,2007-06-30,2007-07-23,0.51,0.52,-0.01,-1.9231
61,2007-03-31,2007-04-16,0.51,0.48,0.03,6.25
62,2006-12-31,2007-01-23,0.52,0.51,0.01,1.9608
63,2006-09-30,2006-10-18,0.54,0.52,0.02,3.8462
64,2006-06-30,2006-07-19,0.45,0.39,0.06,15.3846
65,2006-03-31,2006-04-19,0.38,0.33,0.05,15.1515
66,2005-12-31,2006-01-23,0.33,0.3,0.03,10
67,2005-09-30,2005-10-19,0.24,0.23,0.01,4.3478
68,2005-06-30,2005-07-18,0.25,0.28,-0.03,-10.7143
69,2005-03-31,2005-04-20,0.28,0.28,0,0
70,2004-12-31,2005-02-02,0.37,0.4,-0.03,-7.5
71,2004-09-30,2004-10-18,0.5,0.49,0.01,2.0408
72,2004-06-30,2004-07-19,0.31,0.28,0.03,10.7143
73,2004-03-31,2004-04-14,0.14,0.13,0.01,7.6923
74,2003-12-31,2004-02-04,0.04,0.05,-0.01,-20
75,2003-09-30,2003-10-22,0.05,0.04,0.01,25
76,2003-06-30,2003-07-21,0.03,0.03,0,0
77,2003-03-31,2003-04-21,0.08,0.08,0,0
78,2002-12-31,2003-01-27,0.16,0.15,0.01,6.6667
79,2002-09-30,2002-10-14,0.15,0.14,0.01,7.1429
80,2002-06-30,2002-07-10,0.09,0.06,0.03,50
81,2002-03-31,2002-04-16,0.02,0.01,0.01,100
82,2001-12-31,2002-02-05,-0.01,None,None,None
83,2001-09-30,2001-10-16,0.01,0.01,0,0
84,2001-06-30,2001-07-24,0.01,0.01,0,0
85,2001-03-31,2001-04-17,0.03,0.02,0.01,50
86,2000-12-31,2001-01-30,0.04,0.03,0.01,33.3333
87,2000-09-30,2000-10-19,0.07,0.06,0.01,16.6667
88,2000-06-30,2000-07-18,0.11,0.1,0.01,10
89,2000-03-31,2000-04-11,0.08,0.08,0,0
90,1999-12-31,2000-02-01,0.07,0.07,0,0
91,1999-09-30,1999-10-12,0.06,0.06,0,0
92,1999-06-30,1999-07-13,0.07,0.05,0.02,40
93,1999-03-31,1999-04-13,0.02,0.02,0,0
94,1998-12-31,1999-02-02,0.04,0.04,0,0
95,1998-09-30,1998-10-14,0.05,0.04,0.01,25
96,1998-06-30,1998-07-15,0.04,0.04,0,0
97,1998-03-31,1998-04-15,0.04,0.03,0.01,33.3333
98,1997-12-31,1998-01-20,0.04,0.05,-0.01,-20
99,1997-09-30,1997-10-08,0.07,0.06,0.01,16.6667
100,1997-06-30,1997-07-10,0.08,0.06,0.02,33.3333
101,1997-03-31,1997-04-09,0.08,0.06,0.02,33.3333
102,1996-12-31,1997-01-21,0.04,0.03,0.01,33.3333
