,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-06-30,2022-07-22,1.13,1.32,-0.19,-14.3939
1,2022-03-31,2022-04-22,1.5,1.41,0.09,6.383
2,2021-12-31,2022-02-11,1.69,2.12,-0.43,-20.283
3,2021-09-30,2021-10-22,2.33,2.26,0.07,3.0973
4,2021-06-30,2021-07-22,1.33,1.53,-0.2,-13.0719
5,2021-03-31,2021-04-22,0.07,0.33,-0.26,-78.7879
6,2020-12-31,2021-02-25,0.04,0.22,-0.18,-81.8182
7,2020-09-30,2020-10-23,-0.03,-0.09,0.06,66.6667
8,2020-06-30,2020-07-30,-0.28,-0.5,0.22,44
9,2020-03-31,2020-05-11,-0.19,-0.16,-0.03,-18.75
10,2019-12-31,2020-02-20,0.25,0.24,0.01,4.1667
11,2019-09-30,2019-10-23,0.33,0.24,0.09,37.5
12,2019-06-30,2019-07-19,0.57,0.52,0.05,9.6154
13,2019-03-31,2019-04-25,-0.08,-0.14,0.06,42.8571
14,2018-12-31,2019-02-08,1.98,0.6,1.38,230
15,2018-09-30,2018-10-19,1.41,0.66,0.75,113.6364
16,2018-06-30,2018-07-20,0.55,0.52,0.03,5.7692
17,2018-03-31,2018-04-20,-0.29,-0.22,-0.07,-31.8182
18,2017-12-31,2018-01-25,0.23,0.17,0.06,35.2941
19,2017-09-30,2017-10-20,0.18,0.32,-0.14,-43.75
20,2017-06-30,2017-07-27,0.11,0.18,-0.07,-38.8889
21,2017-03-31,2017-04-27,-0.11,0.17,-0.28,-164.7059
22,2016-12-31,2017-02-09,0.34,0.23,0.11,47.8261
23,2016-09-30,2016-10-27,-0.12,0.17,-0.29,-170.5882
24,2016-06-30,2016-07-28,0.07,0.02,0.05,250
25,2016-03-31,2016-04-28,0.62,-0.1,0.72,720
26,2015-12-31,2016-01-27,-0.14,-0.26,0.12,46.1538
27,2015-09-30,2015-10-29,-0.35,-0.23,-0.12,-52.1739
28,2015-06-30,2015-07-29,-0.21,-0.11,-0.1,-90.9091
29,2015-03-31,2015-04-28,0.02,-0.19,0.21,110.5263
30,2014-12-31,2015-02-02,1,0.14,0.86,614.2857
31,2014-09-30,2014-10-27,-0.23,-0.04,-0.19,-475
32,2014-06-30,2014-07-23,-0.01,-0.08,0.07,87.5
33,2014-03-31,2014-04-24,-0.54,-0.24,-0.3,-125
34,2013-12-31,2014-02-13,0.2,0.78,-0.58,-74.359
35,2013-09-30,2013-10-24,0.66,0.71,-0.05,-7.0423
36,2013-06-30,2013-07-25,1.14,0.59,0.55,93.2203
37,2013-03-31,2013-04-24,0.6,0.34,0.26,76.4706
38,2012-12-31,2013-02-12,0.41,0.53,-0.12,-22.6415
39,2012-09-30,2012-10-24,0.61,1.05,-0.44,-41.9048
40,2012-06-30,2012-07-25,1.63,1.77,-0.14,-7.9096
41,2012-03-31,2012-04-25,0.85,1.1,-0.25,-22.7273
42,2011-12-31,2012-02-15,1.42,1.52,-0.1,-6.5789
43,2011-09-30,2011-10-27,4.07,3.68,0.39,10.5978
44,2011-06-30,2011-07-27,2.92,3.71,-0.79,-21.2938
45,2011-03-31,2011-04-28,3.11,2.22,0.89,40.0901
46,2010-12-31,2011-02-16,2.82,2.16,0.66,30.5556
47,2010-09-30,2010-10-28,2.18,2.58,-0.4,-15.5039
48,2010-06-30,2010-07-28,1.92,2.06,-0.14,-6.7961
49,2010-03-31,2010-04-28,0.55,0.52,0.03,5.7692
50,2009-12-31,2010-02-17,0.75,0.39,0.36,92.3077
51,2009-09-30,2009-10-29,0.45,-0.03,0.48,1600
52,2009-06-30,2009-07-29,-0.08,-0.33,0.25,75.7576
53,2009-03-31,2009-04-29,-0.07,-0.14,0.07,50
54,2008-12-31,2009-02-25,1.71,1.23,0.48,39.0244
55,2008-09-30,2008-10-29,2.13,2.27,-0.14,-6.1674
56,2008-06-30,2008-07-30,2.57,1.99,0.58,29.1457
57,2008-03-31,2008-05-05,0.16,0.5,-0.34,-68
