,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
65,2005-03-31,2005-04-27,0.16,0.17,-0.01,-5.8824
66,2004-12-31,2005-03-01,0.12,0.23,-0.11,-47.8261
67,2004-09-30,2004-11-12,0.14,0.2,-0.06,-30
68,2004-06-30,2004-08-02,0.08,0.12,-0.04,-33.3333
69,2004-03-31,2004-05-07,0.07,0.07,0,0
70,2003-12-31,2004-03-10,0.07,0.05,0.02,40
71,2003-09-30,2003-11-13,0.04,0.04,0,0
72,2003-06-30,2003-08-14,0.03,0.04,-0.01,-25
73,2003-03-31,2003-05-07,0.07,0.04,0.03,75
74,2002-12-31,2003-03-26,0.06,0.06,0,0
75,2002-09-30,2002-11-13,-0.03,-0.02,-0.01,-50
76,2002-06-30,2002-08-16,-0.05,-0.08,0.03,37.5
77,2002-03-31,2002-05-15,-0.05,0.01,-0.06,-600
78,2001-12-31,2002-03-26,-0.03,0.03,-0.06,-200
79,2001-09-30,2001-11-14,0.14,-0.02,0.16,800
80,2001-06-30,2001-08-10,0,0.01,-0.01,-100
81,2001-03-31,2001-04-17,-0.05,0.02,-0.07,-350
82,2000-03-31,2000-04-27,-0.04,0.02,-0.06,-300
83,1999-06-30,1999-08-26,0.04,-0.12,0.16,133.3333
84,1998-12-31,1999-03-10,0.05,0.03,0.02,66.6667
85,1998-06-30,1998-08-31,0.06,0.05,0.01,20
86,1998-03-31,1998-06-03,0.06,0.04,0.02,50
87,1997-12-31,1998-03-20,0.09,0.06,0.03,50
88,1997-09-30,1997-11-18,0.04,0.04,0,0
89,1997-03-31,1997-05-20,0.04,0.01,0.03,300
90,1996-09-30,1996-11-04,0.04,0.02,0.02,100
